,event_time,to_account,from_account,price_eth,token_id,permalink
649,2022-01-12T21:19:11,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0xcb50c369d4781f998183ee09212e4f2cfb866f22,0.002,6718,https://opensea.io/assets/ethereum/0x3c99f2a4b366d46bcf2277639a135a6d1288eceb/6718
650,2022-01-12T22:33:29,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0x19c9b839a11a6c7687f013acfd5aed7c1ee9f8f8,0.0009000000000000001,1879,https://opensea.io/assets/ethereum/0x3c99f2a4b366d46bcf2277639a135a6d1288eceb/1879
651,2022-01-12T23:52:11,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0x5a51488c26b26a34e221252df50665919a3bb126,0.001,5654,https://opensea.io/assets/ethereum/0x3c99f2a4b366d46bcf2277639a135a6d1288eceb/5654
652,2022-01-13T02:58:33,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0x41762ee17749aaaaefb5be979b1ca03052a15f66,0.15000000000000002,4249,https://opensea.io/assets/ethereum/0x3c99f2a4b366d46bcf2277639a135a6d1288eceb/4249
653,2022-01-13T04:49:00,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0xf4e06c6941d36f6432332c052df946fe05c3016b,0.02,1754,https://opensea.io/assets/ethereum/0x3c99f2a4b366d46bcf2277639a135a6d1288eceb/1754
654,2022-01-13T05:20:54,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0x5a2db62f17e20606877758875bc6398ed24859dd,0.002,6714,https://opensea.io/assets/ethereum/0x3c99f2a4b366d46bcf2277639a135a6d1288eceb/6714
655,2022-01-13T06:08:41,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0x8c09860c99d69a16fc59a112e5297dbcc5e9e881,0.002,6719,https://opensea.io/assets/ethereum/0x3c99f2a4b366d46bcf2277639a135a6d1288eceb/6719
656,2022-01-09T23:57:43,0x0a267cf51ef038fc00e71801f5a524aec06e4f07,0xef2aa50b46d5f78a80fc96385275a8dfd82ead8c,0.0,7659,https://opensea.io/assets/ethereum/0x3c99f2a4b366d46bcf2277639a135a6d1288eceb/7659
657,2022-01-09T23:57:43,0x0a267cf51ef038fc00e71801f5a524aec06e4f07,0xef2aa50b46d5f78a80fc96385275a8dfd82ead8c,0.0,1163,https://opensea.io/assets/ethereum/0x3c99f2a4b366d46bcf2277639a135a6d1288eceb/1163
658,2022-01-09T23:57:43,0x0a267cf51ef038fc00e71801f5a524aec06e4f07,0xef2aa50b46d5f78a80fc96385275a8dfd82ead8c,0.0,1165,https://opensea.io/assets/ethereum/0x3c99f2a4b366d46bcf2277639a135a6d1288eceb/1165
659,2022-01-09T23:57:43,0x0a267cf51ef038fc00e71801f5a524aec06e4f07,0xef2aa50b46d5f78a80fc96385275a8dfd82ead8c,0.0,6426,https://opensea.io/assets/ethereum/0x3c99f2a4b366d46bcf2277639a135a6d1288eceb/6426
660,2022-01-09T23:57:43,0x0a267cf51ef038fc00e71801f5a524aec06e4f07,0xef2aa50b46d5f78a80fc96385275a8dfd82ead8c,0.0,1008,https://opensea.io/assets/ethereum/0x3c99f2a4b366d46bcf2277639a135a6d1288eceb/1008
661,2022-01-09T23:57:43,0x0a267cf51ef038fc00e71801f5a524aec06e4f07,0xef2aa50b46d5f78a80fc96385275a8dfd82ead8c,0.0,1010,https://opensea.io/assets/ethereum/0x3c99f2a4b366d46bcf2277639a135a6d1288eceb/1010
662,2022-01-09T23:57:43,0x0a267cf51ef038fc00e71801f5a524aec06e4f07,0xef2aa50b46d5f78a80fc96385275a8dfd82ead8c,0.0,7658,https://opensea.io/assets/ethereum/0x3c99f2a4b366d46bcf2277639a135a6d1288eceb/7658
663,2022-01-09T23:57:58,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0x8764287b47e3681771b70c79686cfdca400326e4,0.005,1168,https://opensea.io/assets/ethereum/0x3c99f2a4b366d46bcf2277639a135a6d1288eceb/1168
664,2022-01-09T23:58:09,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0x53bf3215e96d8846ce3047d8b9a9c8c25edc0776,0.0,1006,https://opensea.io/assets/ethereum/0x3c99f2a4b366d46bcf2277639a135a6d1288eceb/1006
665,2022-01-09T23:58:28,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0x6e19ce8af8c4eb668840680a38c12fd7390cdc42,0.0,1880,https://opensea.io/assets/ethereum/0x3c99f2a4b366d46bcf2277639a135a6d1288eceb/1880
666,2022-01-09T23:58:44,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0xd19f28c2494e10bd9d3797ffc60568c9b95d9af9,0.0,748,https://opensea.io/assets/ethereum/0x3c99f2a4b366d46bcf2277639a135a6d1288eceb/748
667,2022-01-09T23:58:44,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0x54ddd6cbb3a8eb2b0201034b5379f2c6bc89b8a8,0.030000000000000002,3617,https://opensea.io/assets/ethereum/0x3c99f2a4b366d46bcf2277639a135a6d1288eceb/3617
668,2022-01-09T23:59:02,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0x270e171dc5a7a0f19cc4c0bc5ad7a0eeb5b8147d,0.004,5323,https://opensea.io/assets/ethereum/0x3c99f2a4b366d46bcf2277639a135a6d1288eceb/5323
669,2022-01-09T23:59:31,0x0a267cf51ef038fc00e71801f5a524aec06e4f07,0xfc9dd877930e9799beb663523bd31eefe3c99597,0.003,3797,https://opensea.io/assets/ethereum/0x3c99f2a4b366d46bcf2277639a135a6d1288eceb/3797
670,2022-01-09T23:59:31,0x0a267cf51ef038fc00e71801f5a524aec06e4f07,0xfc9dd877930e9799beb663523bd31eefe3c99597,0.003,5367,https://opensea.io/assets/ethereum/0x3c99f2a4b366d46bcf2277639a135a6d1288eceb/5367
671,2022-01-09T23:59:31,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0x02aa7cba72f07e7929c6b80d8dbed2a834e485f3,0.0,5807,https://opensea.io/assets/ethereum/0x3c99f2a4b366d46bcf2277639a135a6d1288eceb/5807
